Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kevin Durant,57,57,2017,554,1074,0.516,105,286,0.367,449,788,0.57,0.565,360,403,0.893,30,368,398,336,45,62,176,111,1573
Klay Thompson,56,56,1910,478,1019,0.469,166,419,0.396,312,600,0.52,0.551,102,126,0.81,24,199,223,123,63,38,86,120,1224
Stephen Curry,46,46,1576,440,901,0.488,236,531,0.444,204,370,0.551,0.619,200,217,0.922,32,204,236,240,56,18,128,118,1316
Draymond Green,42,42,1308,115,271,0.424,24,103,0.233,91,168,0.542,0.469,42,58,0.724,41,277,318,307,66,45,108,135,296
Kevon Looney,57,23,1184,161,264,0.61,1,10,0.1,160,254,0.63,0.612,54,86,0.628,148,186,334,102,34,47,38,160,377
Andre Iguodala,50,11,1176,113,226,0.5,40,108,0.37,73,118,0.619,0.588,33,53,0.623,35,159,194,164,44,39,37,65,299
Jonas Jerebko,53,6,972,130,274,0.474,53,148,0.358,77,126,0.611,0.571,51,62,0.823,62,184,246,80,17,10,35,108,364
Quinn Cook,49,8,705,134,300,0.447,50,134,0.373,84,166,0.506,0.53,15,20,0.75,16,93,109,82,17,3,32,66,333
Shaun Livingston,45,0,690,81,165,0.491,0,2,0,81,163,0.497,0.491,35,43,0.814,31,58,89,85,24,23,26,55,197
Alfonzo McKinnie,48,1,678,96,196,0.49,28,80,0.35,68,116,0.586,0.561,16,31,0.516,61,108,169,19,10,10,22,92,236
Jordan Bell,48,2,531,64,124,0.516,0,1,0,64,123,0.52,0.516,14,21,0.667,38,88,126,56,16,36,24,58,142
Damian Jones,24,22,410,53,74,0.716,0,0,,53,74,0.716,0.716,24,37,0.649,31,44,75,28,12,25,16,63,130
DeMarcus Cousins,11,11,257,50,118,0.424,9,31,0.29,41,87,0.471,0.462,44,60,0.733,13,62,75,41,14,12,23,40,153
Damion Lee,18,0,215,32,71,0.451,15,37,0.405,17,34,0.5,0.556,12,15,0.8,6,30,36,3,8,0,8,19,91
Jacob Evans,23,0,99,6,25,0.24,1,6,0.167,5,19,0.263,0.26,0,1,0,1,8,9,13,1,1,6,13,13
Marcus Derrickson,9,0,54,10,24,0.417,5,14,0.357,5,10,0.5,0.521,3,4,0.75,5,3,8,1,0,1,3,9,28
